,title,directors,scraptwriter,type,country,language,date,flength,rate
3168,超验骇客 Transcendence,沃利·菲斯特,杰克·帕格恩,动作爱情科幻,美国中国大陆英国,英语汉语普通话,2014-04-18(中国大陆/美国),113分钟(中国大陆),6.6
3169,越光宝盒,刘镇伟,刘镇伟,喜剧爱情奇幻古装,中国,汉语普通话粤语,2010-03-18(中国大陆/中国香港),86分钟,5.2
3170,越来越好之村晚,张一白谢东燊,徐正超,喜剧爱情,中国,汉语普通话,2013-02-10(中国大陆),105分钟,4.3
3171,足球尤物 She's the Man,安迪·菲克曼,Ewan Leslie Karen McCullah Lutz,喜剧爱情,美国加拿大,英语,2006-03-17(美国),105 分钟,7.3
3172,跛豪,潘文杰,麦当雄 萧若元 丁卉霖 陈慎芝 李英杰,剧情传记犯罪,中国,粤语,1991-04-15(中国香港),143分钟,8.3
3173,跟踪 跟蹤,游乃海,游乃海 欧健儿,惊悚犯罪,中国,粤语英语,2007-06-21(中国香港),90分钟,7.3
3174,路边野餐,毕赣,毕赣,剧情,中国,贵州方言,2016-07-15(中国大陆)2015-08-11(洛迦诺电影节),110分钟,7.9
3175,跳出我天地 Billy Elliot,史蒂芬·戴德利,李·哈尔,剧情歌舞家庭儿童,英国法国,英语,2000-05-19(戛纳电影节)2000-09-29(英国),110 分钟,8.8
3176,跳舞吧！大象,林育贤,陈舒,剧情喜剧歌舞,中国,汉语普通话,2019-07-26(中国大陆),114分钟,5.0
3177,踏血寻梅 踏血尋梅,翁子光,翁子光,剧情悬疑犯罪,中国,粤语汉语普通话湖南方言,2015-12-03(中国香港)2015-04-06(香港国际电影节),120分钟(导演版),7.5
3178,身为人母 Little Children,托德·菲尔德,托德·菲尔德 汤姆·佩罗塔,剧情爱情家庭,美国,英语,2006-11-03(美国),137 分钟,7.7
3179,车速过快 Spree,尤金·科特亚伦科,尤金·科特亚伦科 Gene McHugh,喜剧惊悚,美国,英语,2020-01-24(圣丹斯电影节)2020-08-14(美国),93分钟,5.5
3180,转山,杜家毅,张家鲁 程孝泽,剧情冒险,中国,汉语普通话藏语,2011-11-03(中国大陆)2011-10-26(东京国际电影节)2012-10-19(高雄电影,90分钟,7.9
3181,轮到你了 特别篇 あなたの番です 特別編,小室直子,高野水登,剧情悬疑,日本,日语,2019-06-23(日本),45分钟,8.0
3182,轮班12小时 12 Hour Shift,布瑞亚·格兰特,布瑞亚·格兰特,喜剧惊悚,美国,英语,2020-04-15(翠贝卡电影节)2020-10-02(美国),86分钟,5.3
3183,轻松自由 Libre et assoupi,本杰明·格德杰,本杰明·格德杰,喜剧,法国,法语,2014-05-07(法国),93分钟,8.3
3184,轻音少女 剧场版 映画 けいおん!,山田尚子,吉田玲子,剧情动画音乐,日本,日语,2011-12-03(日本),110分钟,9.1
3185,辉夜大小姐想让我告白：天才们的恋爱头脑战 かぐや様は告らせたい〜天才たちの恋愛頭脳戦〜,河合勇人,德永友一 赤坂明,喜剧爱情,日本,日语,2020-09-11(中国大陆)2019-09-06(日本),113分钟,5.8
3186,辛亥革命,张黎成龙,王兴东,剧情历史战争,中国,汉语普通话,2011-09-23(中国大陆),121分钟,6.4
3187,辛弃疾1162,张哲张明国,周枫平 李柔,动作古装,中国,汉语普通话,2020-01-02(中国大陆),110分钟,6.3
3188,辣妈辣妹 Freaky Friday,马克·沃特斯,Mary Rodgers Heather Hach,喜剧家庭奇幻,美国,英语汉语普通话,2003-08-04(美国),97 分钟,7.4
3189,辣手保姆 The Babysitter,约瑟夫·麦克金提·尼彻,布莱恩·达菲尔德,喜剧恐怖,美国,英语,2017-10-13(美国),85分钟,6.7
3190,辣手保姆2：女王蜂 The Babysitter: Killer Queen,约瑟夫·麦克金提·尼彻,Dan Lagana,喜剧恐怖,美国,英语,2020-09-10(美国),101分钟,5.7
3191,辣手摧花 Shadow of a Doubt,阿尔弗雷德·希区柯克,桑顿·怀尔德 萨莉·本森 艾玛·雷维尔 戈登·麦克唐纳,剧情悬疑犯罪,美国,英语,1943-01-12(美国),108 分钟,7.5
