,title,directors,scraptwriter,type,country,language,date,flength,rate
0,,,,,,,,,6.0
1,#活着 #살아있다,赵一亨,赵一亨 马特·奈勒,动作惊悚灾难,韩国,韩语,2020-06-24(韩国),98分钟,5.6
2,0.5毫米 0.5ミリ,安藤桃子,安藤桃子,剧情,日本,日语,2014-11-08(日本),196分钟,8.3
3,007之俄罗斯之恋 From Russia with Love,特伦斯·杨,理查德·麦鲍姆 约翰娜·哈伍德 伊恩·弗莱明,动作爱情惊悚冒险,英国,英语俄语土耳其语罗马尼亚语,1963-10-10,115分钟,7.2
4,007之择日而亡 Die Another Day,李·塔玛霍瑞,尼尔·珀维斯 罗伯特·韦德 伊恩·弗莱明,动作惊悚冒险,英国美国,英语粤语西班牙语德语冰岛语意大利语韩语,2002-11-22,133 分钟,7.2
5,007之明日帝国 Tomorrow Never Dies,罗杰·斯波蒂斯伍德,布鲁斯·费尔斯坦 伊恩·弗莱明,动作惊悚冒险,英国美国,英语德语丹麦语汉语普通话粤语,1997-12-09(伦敦首映)1997-12-12(英国)1997-12-19(美国),119 分钟,7.3
6,007之诺博士 Dr. No,特伦斯·杨,理查德·麦鲍姆 Johanna Harwood 伯克利·马瑟 特伦斯·杨 伊恩·弗莱明,动作惊悚冒险,英国,英语法语,1962-10-05,110 分钟,7.0
7,007之金刚钻 Diamonds Are Forever,盖伊·汉弥尔顿,理查德·麦鲍姆 汤姆·曼凯维奇 伊恩·弗莱明,动作科幻惊悚冒险,英国,英语德语,1971-12-14,120 分钟,6.8
8,007之雷霆杀机 A View to a Kill,约翰·格兰,理查德·麦鲍姆 迈克尔·G·威尔森 伊恩·弗莱明,动作犯罪冒险,英国美国,英语,1985-05-24,131 分钟,6.9
9,007之黎明生机 The Living Daylights,约翰·格兰,理查德·麦鲍姆 迈克尔·G·威尔森 伊恩·弗莱明,动作惊悚冒险,英国美国,英语阿拉伯语法语德语俄语,1987-06-30,130 分钟,7.1
10,007之黑日危机 The World Is Not Enough,迈克尔·艾普特,尼尔·珀维斯 罗伯特·韦德,动作惊悚冒险,英国美国,英语俄语西班牙语,1999-11-19(美国)1999-11-26(英国),128 分钟,7.5
11,007：大战皇家赌场 Casino Royale,马丁·坎贝尔,尼尔·珀维斯 罗伯特·韦德 保罗·哈吉斯 伊恩·弗莱明,剧情动作惊悚冒险,英国捷克美国德国巴哈马,塞尔维亚语德语意大利语英语法语,2007-01-30(中国大陆)2006-11-16(英国)2006-11-17(美国),144分钟,7.6
12,007：大破天幕杀机 Skyfall,萨姆·门德斯,尼尔·珀维斯 罗伯特·韦德 约翰·洛根,动作惊悚冒险,英国美国,英语土耳其语,2013-01-21(中国大陆)2012-10-26(英国)2012-11-09(美国),143分钟,7.1
13,007：大破量子危机 Quantum of Solace,马克·福斯特,保罗·哈吉斯 尼尔·珀维斯 罗伯特·韦德,动作惊悚冒险,英国美国,英语意大利语法语西班牙语瑞士德语德语,2008-11-05(中国大陆)2008-10-31(英国)2008-11-14(美国),106分钟,6.6
14,007：幽灵党 Spectre,萨姆·门德斯,约翰·洛根 尼尔·珀维斯 罗伯特·韦德 杰斯·巴特沃斯 伊恩·弗莱明,动作惊悚冒险,英国美国奥地利墨西哥意大利摩洛哥,英语西班牙语意大利语德语法语,2015-11-13(中国大陆)2015-10-26(英国)2015-11-06(美国),148分钟,6.4
15,1/2的魔法 Onward,丹·斯坎隆,丹·斯坎隆 基思·布宁,喜剧动画奇幻冒险,美国,英语,2020-08-19(中国大陆)2020-02-21(柏林电影节)2020-03-06(美国),102分钟,7.7
16,101忠狗 One Hundred and One Dalmatians,克莱德·杰洛尼米汉密尔顿·卢斯科沃夫冈·雷瑟曼,比尔·皮特 道迪·史密斯,喜剧动画家庭冒险,美国,英语,1961-01-25(美国),79分钟,8.4
17,101次求婚,陈正道,张巍 任鹏,爱情,中国大陆中国台湾日本,汉语普通话,2013-02-12(中国大陆)2013-03-22(中国台湾),104分钟,5.7
18,101真狗 101 Dalmatians,斯蒂芬·赫瑞克,约翰·休斯 道迪·史密斯,喜剧犯罪冒险,美国,英语西班牙语,1996-11-27(美国),103分钟,7.4
19,102真狗 102 Dalmatians,凯文·利玛,道迪·史密斯 克莉丝汀·巴克利 布赖恩·里根 鲍勃·祖迪克 诺尼·怀特,喜剧冒险,美国英国,英语,2000-11-22(美国)2000-12-08(英国),100分钟,7.1
20,127小时 127 Hours,丹尼·博伊尔,西蒙·博福伊 丹尼·博伊尔 阿龙·罗尔斯顿,剧情传记冒险,美国英国,英语,2010-11-05(美国),94分钟,8.1
21,12夜,林爱华,林爱华,剧情爱情,中国,粤语,2000-04-20(中国香港),92分钟,8.2
22,12怒汉：大审判 12,尼基塔·米哈尔科夫,尼基塔·米哈尔科夫 亚历山大·诺沃托斯基-瓦尔索夫 弗拉基米尔·莫伊谢延科 雷金纳德·罗斯,剧情悬疑,俄罗斯,俄语车臣语,2007-09-20(俄罗斯),159分钟,8.5
23,1917,萨姆·门德斯,萨姆·门德斯 克里斯蒂·威尔逊-凯恩斯,剧情战争,美国英国印度西班牙加拿大中国大陆,英语法语德语,2020-08-07(中国大陆)2019-12-25(美国)2020-01-10(英国),119分钟,8.5
24,20 30 40,张艾嘉,张艾嘉 关皓月 卓韵芝 刘若英 李心洁,剧情喜剧爱情,中国香港中国台湾日本,汉语普通话粤语,2004-03-11(中国香港)2004-02-13(柏林电影节),113分钟,7.3
25,2008年第29届北京奥运会,姚明迈克尔·菲尔普斯郭晶晶吴敏霞杨威林丹尤塞恩·博尔特何雯娜科比·布莱恩特北岛康介里奥内尔·梅西勒布朗·詹姆斯卡梅隆·安东尼德怀特·霍华德德维恩·韦德杰森·基德克里斯·保罗克里斯·波什泰肖恩·普林斯德,,运动,中国,汉语普通话英语法语,2008-08-08(中国大陆),,9.6
26,2008年第29届北京奥运会开幕式 Beijing 2008 Olympics Games Opening Ceremony,张艺谋张继刚陈维亚,张艺谋,运动真人秀,中国,汉语普通话英语法语,2008-08-08(中国大陆),245分钟,9.1
27,2019腾讯视频星光盛典,李现赵丽颖肖战迪丽热巴王一博杨幂吴亦凡宋茜蔡徐坤江疏影杨洋姚晨李佳琦杨超越鹿晗李紫婷白宇杨芸晴张若昀孙涵许魏洲孙雨徐正溪孟美岐许凯吴宣仪张涵予,,真人秀,中国,汉语普通话,2019-12-28(中国大陆),,6.0
28,2020湖南卫视818全球汽车夜,王一博黄晓明周笔畅大张伟吉克隽逸赵露思张杰戚薇汪涵李锐刘烨靳梦佳沈梦辰梁田钱枫黄子韬徐艺洋杨魏玲花曾毅张萌张月毛阿敏毛不易郑钧李斯丹妮郁可唯王霏霏张含韵孟佳李荣浩李晨麦迪娜乌兰图雅阿兰刘宇宁老狼李宇春,,歌舞真人秀,中国,汉语普通话,2020-08-18(中国大陆),,
29,2046,王家卫,王家卫,剧情爱情奇幻,中国香港中国大陆法国意大利德国,粤语汉语普通话日语,2004-09-28(中国大陆)2004-09-29(中国香港)2004-05-20(戛纳电影节),129 分钟,7.6
30,2067,Seth Larney,Seth Larney Dave Paterson,科幻,澳大利亚,英语,2020-10-02(澳大利亚),114分钟,5.3
31,21克 21 Grams,亚历杭德罗·冈萨雷斯·伊纳里图,吉列尔莫·阿里亚加,剧情惊悚犯罪,美国,英语,2003-09-05(威尼斯电影节),124 分钟,7.8
32,21座桥 21 Bridges,布莱恩·柯克,亚当·梅维斯 马修·迈克尔·卡纳汉,惊悚犯罪,美国,英语,2019-09-25(印度尼西亚)2019-11-22(美国),99分钟,6.7
33,22英里 Mile 22,彼得·博格,利·卡彭特 格雷厄姆·罗兰,动作犯罪冒险,美国,英语俄语印度尼西亚语,2018-08-17(美国),94分钟,6.9
34,234说爱你 234說愛你,张玮真,吴美枝,爱情,中国,汉语普通话,2015-10-23(中国台湾)2016-09-23(中国大陆),95分钟,6.1
35,28岁未成年,张末,张末 张弘毅 张影 翟嘟 田金,喜剧爱情奇幻,中国,汉语普通话,2016-12-09(中国大陆),109分钟,5.7
36,29+1,彭秀慧,彭秀慧,剧情爱情,中国,粤语,2016-10-31(中国香港亚洲电影节)2017-05-11(中国香港)2017-06-02(中国,111分钟,7.2
37,300勇士：帝国崛起 300: Rise of an Empire,诺姆·穆罗,扎克·施奈德 库尔特·约恩斯塔德 弗兰克·米勒,剧情动作历史战争,美国,英语,2014-03-05(阿根廷首映)2014-03-07(美国),102分钟,6.3
38,42号传奇 42,布莱恩·海尔格兰德,布莱恩·海尔格兰德,剧情传记运动,美国,英语,2013-04-12(美国),128分钟,8.0
39,82年生的金智英 82년생 김지영,金度英,刘英雅 金度英 赵南柱,剧情,韩国,韩语,2019-11-07(中国香港)2019-10-23(韩国),118分钟,8.6
40,85年盛夏 Eté 85,弗朗索瓦·欧容,艾丹·钱伯斯 弗朗索瓦·欧容,剧情同性,法国,法语,2020-07-14(法国),100分钟,6.8
41,8英里 8 Mile,柯蒂斯·汉森,斯科特·西尔弗,剧情音乐,美国德国,英语,2002-11-08(美国),110 分钟,8.3
42,92黑玫瑰对黑玫瑰 92黑玫瑰對黑玫瑰,刘镇伟,刘镇伟,喜剧动作爱情歌舞,中国,粤语,1992-07-02,95分钟,7.4
43,97古惑仔战无不胜 97古惑仔戰無不勝,刘伟强,文隽,剧情动作,中国,粤语,1997-03-28,106 分钟,7.5
44,97家有喜事 97家有囍事,张坚庭,黄百鸣 谷德昭,喜剧,中国,粤语,1997-02-06(中国香港),90 分钟,7.6
45,98古惑仔之龙争虎斗 98古惑仔之龍爭虎鬥,刘伟强,文隽 秋婷,动作,中国,粤语英语马来语,1998-01-22(中国香港),114 分钟,7.3
46,9号秘事 万圣节特别篇 Inside No. 9  Dead Line,巴巴拉·威尔希尔,史蒂夫·佩姆伯顿 里斯·谢尔史密斯,喜剧恐怖,英国,英语,2018-10-28(英国),30分钟,8.6
47,AI崩坏 AI崩壊,入江悠,入江悠,剧情科幻,日本,日语,2020-01-31(日本),,5.8
48,A计划 A計劃,成龙,邓景生 成龙,喜剧动作,中国,粤语,1983-12-22(中国香港),105分钟,8.0
49,A计划续集 A計劃續集,成龙,成龙 邓景生,喜剧动作犯罪,中国,粤语,1987-08-19(中国香港)1987-07-25(日本),106分钟,7.7
50,B+侦探 B+偵探,彭顺,彭顺,剧情悬疑惊悚犯罪,中国香港中国大陆,粤语汉语普通话泰语,2011-04-29(中国大陆),100分钟,5.8
51,bilibili晚会二零一九最美的夜,宫鹏,朱广权 陈超 周延 彭磊 赵梦 庞宽 冯提莫 陈乐一 张光北 胡彦斌 易言 周笔畅 张蔷 理查德·克莱德曼 方锦龙 戴荃 周深 邓紫棋 吴亦凡 陈信宏 蔡升晏 石锦航 温尚翊 刘冠佑 王禹 方颂评 肥,歌舞真人秀,中国,汉语普通话,2019-12-31(中国大陆),212分钟,9.1
52,BJ单身日记 Bridget Jones's Diary,莎伦·马奎尔,理查德·柯蒂斯 安德鲁·戴维斯,喜剧爱情,英国法国美国爱尔兰,英语,2001-04-04(英国),97分钟,7.5
53,BJ单身日记2：理性边缘 Bridget Jones: The Edge of Reason,比班·基德龙,亚当·布鲁克斯 安德鲁·戴维斯 海伦·费尔丁 理查德·柯蒂斯 海伦·费尔丁,喜剧爱情,英国法国德国爱尔兰美国,英语德语,2004-11-12(美国),108 分钟,7.2
54,C+侦探 C+偵探,彭顺,彭顺 彭柏成,剧情悬疑,中国,粤语,2007-09-25(中国香港),109 分钟,6.6
55,E.T. 外星人 E.T.: The Extra-Terrestrial,史蒂文·斯皮尔伯格,梅丽莎·马西森,剧情科幻,美国,英语,1982-05-26(戛纳电影节)1982-06-11(美国),115分钟,8.6
56,Goodbye 以谎言开端的人生喜剧 グッドバイ～嘘からはじまる人生喜劇～,成岛出,奥寺佐渡子,喜剧,日本,日语,2019-12-21(上海日本新片展)2020-02-14(日本),106分钟,6.1
57,Hello！树先生,韩杰,韩杰,剧情,中国,汉语普通话,2011-11-04(中国大陆),88分钟,8.0
58,HOLD住爱,张琦,张琦 黄苇 赵犇,喜剧爱情悬疑,中国,汉语普通话,2012-08-23(中国大陆),98分钟,3.5
59,K星异客 K-PAX,伊恩·索夫特雷,查尔斯·里维特 Gene Brewer,剧情科幻,美国德国,英语,2001-10-26(美国),120分钟,8.5
60,K歌情人 Music and Lyrics,马克·劳伦斯,马克·劳伦斯,喜剧爱情音乐,美国,英语,2007-02-14(美国),96 分钟(美国),7.5
61,M就是凶手 M - Eine Stadt sucht einen Mörder,弗里茨·朗,弗里茨·朗 特娅·冯·哈堡,剧情惊悚犯罪黑色电影,德国,德语,1931-05-11(德国),117分钟,8.3
62,Office有鬼,麦子善刘宝贤王晶,王晶,剧情悬疑惊悚恐怖,中国,粤语,2002-09-06(中国香港),89分钟,6.7
63,OK老板娘 오케이 마담,李澈河,金允心,喜剧,韩国,韩语,2020-08-12(韩国),101分钟,6.5
64,X战警 X-Men,布莱恩·辛格,大卫·海特,动作科幻,美国加拿大,英语,2000-07-14(美国),104 分钟,7.8
65,X战警2 X2,布莱恩·辛格,迈克尔·道赫蒂 丹·哈里斯 大卫·海特,动作科幻惊悚,美国加拿大,英语德语意大利语西班牙语,2003-09-29(中国大陆)2003-05-02(美国),133 分钟,7.7
66,X战警3：背水一战 X-Men: The Last Stand,布莱特·拉特纳,西蒙·金伯格 Zak Penn,动作科幻惊悚,美国加拿大英国,英语,2006-09-08(中国大陆)2006-05-22(戛纳电影节)2006-05-26(美国),104 分钟,7.6
67,X战警：天启 X-Men: Apocalypse,布莱恩·辛格,布莱恩·辛格 迈克尔·道赫蒂 丹·哈里斯 西蒙·金伯格,动作科幻奇幻冒险,美国,英语德语阿拉伯语波兰语古埃及语,2016-06-03(中国大陆)2016-05-09(伦敦首映)2016-05-27(美国),144分钟,7.7
68,X战警：第一战 X-Men: First Class,马修·沃恩,简·古德曼 马修·沃恩 布莱恩·辛格 阿什利·米勒 扎克·施坦茨 谢尔顿·特纳,剧情动作科幻,美国英国,英语德语法语西班牙语俄语,2011-05-25(纽约首映)2011-06-01(英国)2011-06-03(美国),132分钟,8.2
69,X战警：逆转未来 X-Men: Days of Future Past,布莱恩·辛格,西蒙·金伯格 简·古德曼 马修·沃恩,剧情动作科幻冒险,美国英国,英语越南语法语,2014-05-23(美国/中国大陆),132分钟,8.2
70,X战警：黑凤凰 Dark Phoenix,西蒙·金伯格,西蒙·金伯格 约翰·伯恩 克里斯·克雷蒙 戴夫·科克勒姆 杰克·科比 斯坦·李,动作科幻冒险,美国加拿大,英语法语,2019-06-06(中国大陆)2019-06-07(美国),114分钟,5.8
71,“吃吃”的爱,蔡康永,蔡康永,喜剧爱情奇幻,中国大陆中国香港中国台湾,汉语普通话,2017-05-27(中国大陆/中国台湾),90分钟,5.3
72,“大”人物,五百,胡蓉蓉 杨苗 郭子圣,动作犯罪,中国,汉语普通话,2019-01-10(中国大陆),107分钟,6.5
73,一一,杨德昌,杨德昌,剧情爱情家庭,中国台湾日本,汉语普通话闽南语英语日语,2017-07-28(中国台湾)2000-05-14(戛纳电影节)2000-12-16(日本),173分钟,9.0
74,一万年以后,易立,易立 陈景形 聂盛杰 刘勇,动作动画奇幻,中国,汉语普通话,2015-03-27(中国大陆),96分钟,5.4
75,一个人的武林,陈德森,刘浩良 麦天枢 陈德森,动作惊悚,中国,汉语普通话粤语,2014-10-31(中国大陆),100分钟,6.5
76,一个勺子,陈建斌,陈建斌,剧情喜剧,中国,汉语普通话西北方言,2015-11-20(中国大陆)2014-11-16(金马影展),95分钟(公映版),7.7
77,"一个头两个大 Me, Myself & Irene",博比·法雷里彼得·法雷里,彼得·法雷里 迈克·切罗内 博比·法雷里,喜剧,美国,英语德语,2000-06-30,116 分钟,7.2
78,一个好人 一個好人,洪金宝,马美萍 邓景生,喜剧动作犯罪,中国,英语汉语普通话粤语,1997-01-31(中国香港),97分钟,7.1
79,一个字头的诞生 一個字頭的誕生,韦家辉,韦家辉 司徒锦源 邹凯光,喜剧动作犯罪,中国,粤语汉语普通话,1997-03-14(中国香港),90 分钟,8.3
80,一个明星的诞生 A Star Is Born,布莱德利·库珀,艾瑞克·罗斯 布莱德利·库珀 威尔·法特斯 莫斯·哈特 约翰·格列高利·邓恩 琼·迪丹 弗兰克·皮尔森 威廉·A·韦尔曼 罗伯特·卡森,剧情爱情音乐,美国,英语,2018-08-31(威尼斯电影节)2018-10-05(美国),135分钟,7.3
81,一个母亲的复仇 Mom,拉维·德耶瓦尔,吉里什·科赫利 拉维·德耶瓦尔,剧情犯罪,印度,印地语,2019-05-10(中国大陆)2017-07-07(印度),146分钟,6.8
82,一个购物狂的自白 Confessions of a Shopaholic,P·J·霍根,Tracey Jackson Tim Firth Kayla Alpert 索菲·金塞拉,喜剧爱情,美国,英语芬兰语,2009-02-13(美国),104 分钟,6.4
83,一个都不能少,张艺谋,施祥生,剧情喜剧,中国,晋语汉语普通话,1999-09-07(威尼斯电影节),106 分钟,7.7
84,一个陌生女人的来信,徐静蕾,斯蒂芬·茨威格 徐静蕾,剧情爱情,中国,汉语普通话,2005-03-04(中国大陆)2004-09(塞巴斯蒂安电影节),89分钟,7.5
85,一九四二,冯小刚,刘震云,剧情历史战争灾难,中国,河南方言英语日语汉语普通话,2012-11-29(中国大陆)2012-11-11(罗马电影节),146分钟,7.8
86,一九四四 1944,埃尔莫·纽加农,里奥·古拿斯,剧情历史战争,爱沙尼亚芬兰,爱沙尼亚语俄语德语,2015-02-08(柏林电影节)2015-02-20(爱沙尼亚),100分钟,8.1
87,一代宗师 一代宗師,王家卫,邹静之 徐浩峰 王家卫,剧情动作爱情传记,中国,汉语普通话粤语日语,2013-01-08(中国大陆)2013-01-10(中国香港)2015-01-08(中国大陆 3D,111分钟(3D重映),8.0
88,一切如你,黄宏黄兆函傅绍杰张楠李譞,黄宏 李希萌 刘玚 黄兆函 郭刚 张钫 李譞,剧情家庭,中国,汉语普通话,2019-09-12(中国大陆),85分钟,7.9
89,一句顶一万句,刘雨霖,刘震云,剧情爱情家庭,中国,汉语普通话,2016-11-04(中国大陆),110分钟,6.4
90,一场风花雪月的事,高群书,霍昕 高群书 海岩,动作爱情犯罪,中国,汉语普通话英语韩语日语粤语意大利语,2013-08-08(中国大陆),114分钟,4.5
91,一声叹息,冯小刚,王朔,剧情爱情家庭,中国,汉语普通话,2000-09-20(中国大陆),111分钟,7.5
92,一夜惊喜,金依萌,金依萌,喜剧爱情,中国,汉语普通话英语,2013-08-09(中国大陆),106分钟,5.3
93,一夜风流 It Happened One Night,弗兰克·卡普拉,罗伯特·里斯金 塞缪尔·霍普金斯·亚当斯,喜剧爱情,美国,英语,1934-02-22(美国),105 分钟,8.7
94,一天 One Day,罗勒·莎菲,大卫·尼克尔斯,剧情爱情,美国英国,英语,2011-08-19(美国),107分钟,7.9
95,一念天堂,张承,张承,喜剧,中国,汉语普通话,2015-12-31(中国大陆),102分钟,5.9
96,一念无明 一念無明,黄进,黄进 陈楚珩,剧情家庭,中国,粤语,2017-03-30(中国香港)2017-04-07(中国大陆)2016-09-08(多伦多电影节),101分钟,7.9
97,一条狗的回家路 A Dog's Way Home,查尔斯·马丁·史密斯,W·布鲁斯·卡梅伦 凯瑟琳·迈克,剧情冒险,美国,英语,2019-01-18(中国大陆)2019-01-11(美国),96分钟,7.0
98,一树梨花压海棠 Lolita,阿德里安·莱恩,弗拉基米尔·纳博科夫 史蒂芬·希夫,剧情爱情情色,美国法国,英语,1997-09-26(意大利)1998-01-14(法国)1998-09-25(美国),137分钟,8.2
99,一次别离 جدایی نادر از سیمین,阿斯哈·法哈蒂,阿斯哈·法哈蒂,剧情家庭,伊朗法国,波斯语,2012-11-13(中国大陆)2011-02-15(柏林电影节)2011-03-16(伊朗),123分钟,8.7
100,一步之遥,姜文,姜文 郭俊立 王朔 廖一梅 述平 顿河 孙悦 孙睿 于彦琳,剧情喜剧动作,中国大陆美国中国香港,汉语普通话英语上海话法语日语满语越南语拉丁语,2014-12-18(中国大陆),140分钟,6.5
101,一江春水向东流 一江春水向東流,蔡楚生郑君里,蔡楚生 郑君里,剧情,中国,汉语普通话,1947(中国大陆)2017-10-27(中国大陆重映),192分钟,8.5
102,一点就到家,许宏宇,张冀 周运海,剧情喜剧,中国,汉语普通话,2020-10-04(中国大陆),97分钟,6.8
103,一球成名 Goal!,丹尼·加农,迈克·杰弗里斯 Adrian Butchart 迪克·克莱蒙特 伊安·拉·弗雷奈斯,剧情运动,英国美国,英语西班牙语,2006-03-24(中国大陆)2005-09-30(英国),118 分钟,7.5
104,一生一世,邹佡,邹佡 刘浩良 张卜牛,爱情,中国,汉语普通话英语粤语上海话,2014-09-04(中国香港)2014-09-05(中国大陆),106分钟,5.3
105,一眉道人,林正英,史美仪 陈锦昌 沈治樑,喜剧动作恐怖奇幻,中国,粤语,1989-07-26,86 分钟,7.7
106,一秒钟,张艺谋,张艺谋 邹静之,剧情,中国,汉语普通话,2020-11-27(中国大陆),104分钟,7.8
107,一级恐惧 Primal Fear,格里高利·霍布里特,William Diehl 斯蒂夫·沙甘 安·白德曼,剧情悬疑犯罪,美国,英语西班牙语,1996-04-03(美国),129 分钟,8.5
108,一见钟情 一見鐘情,刘伟强,陈十三,爱情,中国香港美国,粤语英语,2000-04-20(中国香港),98分钟,7.3
109,一触即发 Jack Ryan: Shadow Recruit,肯尼思·布拉纳,亚当·科扎德 大卫·凯普 汤姆·克兰西,剧情动作惊悚,美国俄罗斯,英语俄语,2014-01-17(美国/中国大陆)2014-01-15(菲律宾),105分钟,5.7
110,一路惊喜,金依萌潘安子章家瑞宋迪,金依萌 张艺凡,喜剧爱情家庭,中国,汉语普通话,2015-02-06(中国大陆),120分钟,5.1
111,一路顺疯,叶伟民,文隽 杨梅媛 石明华 陈思诚,喜剧,中国,汉语普通话,2013-09-29(中国大陆),95分钟,5.2
112,一页台北 一頁台北,陈骏霖,陈骏霖,喜剧爱情,中国台湾美国,汉语普通话闽南语,2010-04-02,85分钟,6.6
113,丁丁历险记 The Adventures of Tintin: The Secret of the Unicorn,史蒂文·斯皮尔伯格,史蒂文·莫法特 埃德加·赖特 乔·考尼什 埃尔热,动作动画悬疑冒险,美国新西兰,英语,2011-11-15(中国大陆)2011-12-21(美国),107分钟,7.7
114,七个神经病 Seven Psychopaths,马丁·麦克唐纳,马丁·麦克唐纳,喜剧犯罪,英国美国,英语,2012-10-12(美国)2012-12-07(英国),110分钟,7.7
115,七十七天,赵汉唐,赵汉唐 曹金玲 高正 周侯衡 李逍雪,剧情冒险,中国,汉语普通话,2017-11-03(中国大陆),115分钟,6.4
116,七武士 七人の侍,黑泽明,黑泽明 桥本忍 小国英雄,剧情动作冒险,日本,日语,1954-04-26(日本),207分钟,9.3
117,七磅 Seven Pounds,加布里埃莱·穆奇诺,Grant Nieporte,剧情,美国,英语西班牙语,2008-12-19,123 分钟,8.1
118,七龙珠 Dragonball Evolution,黄毅瑜,Ben Ramsey,动作科幻惊悚奇幻冒险,美国中国香港英国,英语日语印地语,2009-03-12(中国香港)2009-03-14(中国大陆)2009-04-10(美国),85 分钟,3.7
119,万万没想到,易小星,易小星 刘循子墨 柯达 胡舒欣 王伟杰,喜剧奇幻冒险古装,中国,汉语普通话,2015-12-18(中国大陆),95分钟,5.6
120,万有引力,赵天宇,赵天宇 阿美,剧情喜剧爱情悬疑,中国,汉语普通话,2011-04-08(中国大陆),97分钟,6.3
121,万物生长,李玉,李玉 魏君子 许少飞 冯唐,喜剧爱情,中国,汉语普通话,2015-04-17(中国大陆),105分钟,5.7
122,万箭穿心,王竞,吴楠,剧情家庭,中国,汉语普通话武汉方言,2012-11-16(中国大陆),118分钟,8.6
123,万能钥匙 The Skeleton Key,伊恩·索夫特雷,伊伦·克鲁格,剧情悬疑恐怖,美国德国,英语法语,2005-07-29(英国)2005-08-12(美国),104 分钟,8.0
124,丈夫得了抑郁症 ツレがうつになりまして。,佐佐部清,青岛武,剧情爱情家庭,日本,日语,2011-10-08(日本),121分钟,8.1
125,三个火枪手 The Three Musketeers,保罗·安德森,安德鲁·戴维斯 保罗·安德森,动作爱情冒险,法国美国英国德国,英语,2012-05-15(中国大陆)2011-10-14(美国),110分钟,6.7
126,三人行,杜琪峰,游乃海 刘浩良 麦天枢,剧情动作犯罪,中国,汉语普通话粤语英语,2016-06-24(中国大陆)2016-06-30(中国香港),90分钟,5.9
127,三国之见龙卸甲,李仁港,李仁港 刘浩良 冯志强,剧情动作历史战争,中国大陆韩国中国香港,汉语普通话,2008-04-03(中国大陆),102 分钟,5.4
128,三城记,张婉婷,张婉婷 罗启锐,剧情爱情,中国,汉语普通话,2015-08-27(中国大陆),130分钟,6.1
129,三夫,陈果,林纪陶 陈果,剧情情色,中国,粤语,2019-03-28(中国香港)2018-10-26(东京电影节),101分钟,5.7
130,三岔口,陈木胜,岸西,剧情动作犯罪,中国,粤语,2005-04-28(中国香港),101 分钟(香港),6.5
131,三峡好人,贾樟柯,贾樟柯 管娜 孙建敏,剧情爱情,中国,四川话晋语,2006-12-14(中国大陆)2006-09-06(威尼斯电影节),107分钟,8.2
132,三振集团英语托业班 삼진그룹 영어토익반,李宗弼,李宗弼,剧情,韩国,韩语,2020-10-21(韩国),110分钟,7.3
133,三方国界 Triple Frontier,J·C·尚多尔,J·C·尚多尔 马克·鲍尔,动作犯罪冒险,美国,英语西班牙语葡萄牙语,2019-03-13(美国),125分钟,6.4
134,三枪拍案惊奇,张艺谋,徐正超 史建全,喜剧悬疑古装,中国,汉语普通话英语,2009-12-11(中国大陆)2009-12-24(中国香港),95 分钟,4.7
135,三毛从军记,张建亚,张建亚 张乐平,剧情喜剧儿童战争,中国,汉语普通话,1992-10(中国大陆),90分钟,8.5
136,三毛流浪记,赵明严恭,阳翰笙,剧情喜剧,中国,汉语普通话,1949-12(中国大陆),73分钟,8.2
137,三生三世十里桃花,赵小丁安东尼·拉默里纳拉,李晗 刘晗 麦灵 张亚亮 唐七,爱情奇幻,中国,汉语普通话,2017-08-03(中国大陆),109分钟,4.0
138,上帝也疯狂 The Gods Must Be Crazy,加美·尤伊斯,加美·尤伊斯,喜剧,南非博茨瓦纳,英语南非荷兰语,1980-09-10(南非)1981-08-21(挪威),109 分钟,8.7
139,上帝也疯狂2 The Gods Must Be Crazy II,加美·尤伊斯,加美·尤伊斯,喜剧,南非博茨瓦纳,英语南非荷兰语,1989-07-26,98 分钟,8.8
140,上海堡垒,滕华涛,滕华涛 韩景龙 江南,爱情科幻战争,中国,汉语普通话,2019-08-09(中国大陆),107分钟,2.9
141,上海正午 Shanghai Noon,汤姆·戴伊,Miles Millar 艾尔弗雷德·高福,喜剧动作西部冒险,美国中国香港,英语汉语普通话西班牙语苏族语,2000-06-01(中国香港)2000-05-26(美国),110 分钟,6.4
142,上海正午2：上海骑士 Shanghai Knights,大卫·道金,艾尔弗雷德·高福 Miles Millar,喜剧动作西部冒险,美国英国捷克,英语汉语普通话,2003-02-07(美国),114 分钟,6.5
143,上海滩 上海灘,招振强,古兆奉 陳翹英,剧情动作爱情,中国,粤语,1983-01-20(中国香港),103分钟,9.0
144,上海王,胡雪桦,胡雪桦 虹影 庞贝,剧情动作爱情,中国,汉语普通话英语上海话日语,2017-02-17(中国大陆)2016-06-19(上海电影节),107分钟,4.9
145,上海皇帝之雄霸天下,潘文杰,麦当雄 萧若元,剧情悬疑犯罪,中国,粤语,1993-05-13,104 分钟,7.9
146,上甘岭 上甘嶺,沙蒙林杉,林杉 曹欣 沙蒙 崔家骏,剧情战争,中国,汉语普通话,1956-12-01(中国大陆),124分钟,8.1
147,上车走吧,管虎,马晓东,剧情,中国,青岛话汉语普通话北京话,2000,113分钟,8.0
148,下一任：前任,陈鸿仪,陈鸿仪,爱情,中国台湾中国大陆,汉语普通话,2019-05-01(中国大陆),99分钟,2.8
